Requested Rect. Yield,Date Completed,Work Center

88.3,1/2/2015,FINNSG3
91.4,1/2/2015,FINNSG2
92.7,1/2/2015,FINNSG2
21.34,1/2/2015,Amada Vipros 3 - Cell #2
90.2,1/2/2015,FINNSG2
92.7,1/2/2015,FINNSG2
90.4,1/2/2015,FINNSG5
86.5,1/2/2015,FINNSG3
92.3,1/2/2015,FINNSG2
67.2,1/2/2015,Amada Vipros 1 - Cell #1
92.1,1/2/2015,FINNSG2
87.2,1/2/2015,FINNSG3
76.51,1/2/2015,Amada Vipros 3 - Cell #2
33.67,1/2/2015,Amada Vipros 1 - Cell #1
74.6,1/2/2015,FINNSG5
89.9,1/2/2015,FINNSG2
83.9,1/2/2015,FINNSG5
40.66,1/2/2015,Amada Vipros 1 - Cell #1
72.1,1/2/2015,Amada Vipros 3 - Cell #2
82.1,1/2/2015,FINNSG2
91.9,1/2/2015,FINNSG3
81.7,1/2/2015,FINNSG5
70.54,1/2/2015,Amada Vipros 3 - Cell #2
89.4,1/2/2015,FINNSG5
81.1,1/2/2015,FINNSG2
83,1/2/2015,FINNSG3
84.4,1/2/2015,FINNSG5
89.2,1/2/2015,FINNSG5
83.4,1/2/2015,FINNSG2
87.7,1/2/2015,FINNSG2
73.9,1/2/2015,FINNSG5
61.35,1/2/2015,Amada Vipros 3 - Cell #2
84.6,1/2/2015,FINNSG2
25.41,1/2/2015,Amada Vipros 3 - Cell #2
81.1,1/2/2015,FINNSG2
84.9,1/2/2015,FINNSG5
81.37,1/2/2015,Amada FMS #1
7.47,1/2/2015,Amada Vipros 3 - Cell #2
103.47,1/2/2015,Salvagnini laser
10.85,1/2/2015,Salvagnini laser
86.2,1/2/2015,FINNSG5
0.43,1/2/2015,Amada Vipros 3 - Cell #2
78.6,1/2/2015,FINNSG2
81.71,1/2/2015,Amada FMS #1
81,1/2/2015,FINNSG2
83.5,1/2/2015,FINNSG5
76.4,1/2/2015,Amada FMS #1
85.1,1/2/2015,FINNSG5
106.77,1/2/2015,Amada Vipros 3 - Cell #2
89,1/2/2015,FINNSG5
87.7,1/2/2015,FINNSG5
70.86,1/2/2015,Amada Vipros 3 - Cell #2
81,1/2/2015,FINNSG5
79.95,1/2/2015,Amada FMS #1
85.64,1/2/2015,Salvagnini laser
70.5,1/2/2015,FINNSG5
80.7,1/2/2015,FINNSG2
35.2,1/2/2015,FINNSG5
38.26,1/2/2015,Amada Vipros 3 - Cell #2
114,1/2/2015,Salvagnini laser
102.72,1/2/2015,Amada Vipros 3 - Cell #2
44.21,1/2/2015,Amada Vipros 3 - Cell #2
65.86,1/2/2015,Amada Vipros 3 - Cell #2
76.46,1/2/2015,Amada Vipros 3 - Cell #2
85.3,1/4/2015,FINNSG2
64.69,1/4/2015,Amada FMS #2
87.6,1/4/2015,FINNSG2
87.7,1/4/2015,FINNSG1
15.61,1/4/2015,Amada Vipros 3 - Cell #2
71.2,1/4/2015,Amada Vipros 1 - Cell #1
89.9,1/4/2015,FINNSG5
85.11,1/5/2015,Amada FMS #2
88.7,1/5/2015,FINNSG5
89.7,1/5/2015,FINNSG1
88.8,1/5/2015,FINNSG4
73.3,1/5/2015,FINNSG5
39.55,1/5/2015,Amada Vipros 1 - Cell #1
74,1/5/2015,Amada FMS #1
37.28,1/5/2015,Amada FMS #2
91.2,1/5/2015,FINNSG4
90.6,1/5/2015,FINNSG3
90.1,1/5/2015,FINNSG4
63.63,1/5/2015,Amada Vipros 3 - Cell #2
91.1,1/5/2015,FINNSG5
87.9,1/5/2015,FINNSG2
95.99,1/5/2015,Salvagnini laser
50.19,1/5/2015,Amada Vipros 1 - Cell #1
67.2,1/5/2015,FINNSG5
92.3,1/5/2015,FINNSG4
42.75,1/5/2015,Salvagnini laser
88.6,1/5/2015,FINNSG1
69.4,1/5/2015,FINNSG5
15.1,1/5/2015,Salvagnini laser
91.3,1/5/2015,FINNSG3
91.3,1/5/2015,FINNSG2
70.94,1/5/2015,Amada FMS #1
89.5,1/5/2015,FINNSG4
45.92,1/5/2015,Amada Pulsar Laser  - Cell #1
50.92,1/5/2015,Amada Vipros 3 - Cell #2
90.1,1/5/2015,FINNSG4
84.6,1/5/2015,FINNSG5
165.01,1/5/2015,Salvagnini laser
88.8,1/5/2015,FINNSG2
88.1,1/5/2015,FINNSG5
91.4,1/5/2015,FINNSG3
64.7,1/5/2015,FINNSG5
86.4,1/5/2015,FINNSG4
78.25,1/5/2015,Amada FMS #1
89.8,1/5/2015,FINNSG1
77.46,1/5/2015,Amada Vipros 1 - Cell #1
35.86,1/5/2015,Amada Vipros 3 - Cell #2
86.3,1/5/2015,FINNSG5
89.5,1/5/2015,FINNSG3
91.2,1/5/2015,FINNSG4
25.74,1/5/2015,Amada Pulsar Laser  - Cell #1
88,1/5/2015,FINNSG2
90.9,1/5/2015,FINNSG5
88.8,1/5/2015,FINNSG4
91.7,1/5/2015,FINNSG4
90.7,1/5/2015,FINNSG4
76.7,1/5/2015,Amada Vipros 1 - Cell #1
89.1,1/5/2015,FINNSG4
90,1/5/2015,FINNSG4
78.6,1/5/2015,Amada FMS #1
92.3,1/5/2015,FINNSG5
62.4,1/5/2015,FINNSG1
47.67,1/5/2015,Amada Vipros 3 - Cell #2
88.9,1/5/2015,FINNSG4
46.98,1/5/2015,Salvagnini laser
72.8,1/5/2015,FINNSG2
91,1/5/2015,FINNSG3
84.3,1/5/2015,FINNSG5
76.28,1/5/2015,Amada FMS #2
73.32,1/5/2015,Salvagnini laser
12.56,1/5/2015,Amada Pulsar Laser  - Cell #1
39.91,1/5/2015,Amada Vipros 1 - Cell #1
88.3,1/5/2015,FINNSG4
90.3,1/5/2015,FINNSG3
89.4,1/5/2015,FINNSG4
88.9,1/5/2015,FINNSG4
91.7,1/5/2015,FINNSG4
81.8,1/5/2015,FINNSG1
91.3,1/5/2015,FINNSG2
76.46,1/5/2015,Amada Vipros 3 - Cell #2
84.6,1/5/2015,FINNSG5
88.9,1/5/2015,FINNSG4
14.57,1/5/2015,Amada Vipros 1 - Cell #1
85.3,1/5/2015,FINNSG5
64.5,1/5/2015,Amada FMS #2
90.2,1/5/2015,FINNSG2
82.3,1/5/2015,FINNSG5
89,1/5/2015,FINNSG3
89.4,1/5/2015,FINNSG3
90.8,1/5/2015,FINNSG4
40.31,1/5/2015,Amada Vipros 5 - Cell #3
90.2,1/5/2015,FINNSG4
91.7,1/5/2015,FINNSG1
89.5,1/5/2015,FINNSG5
44.05,1/5/2015,Amada FMS #2
104.51,1/5/2015,Salvagnini laser
26.5,1/5/2015,Salvagnini laser
73.18,1/5/2015,Amada Pulsar Laser  - Cell #1
28.56,1/5/2015,Salvagnini laser
83.3,1/5/2015,FINNSG5
90.4,1/5/2015,FINNSG3
74.85,1/5/2015,Amada Vipros 1 - Cell #1
76.56,1/5/2015,Amada FMS #1
28.2,1/5/2015,Amada Pulsar Laser  - Cell #1
85.3,1/5/2015,FINNSG5
85.9,1/5/2015,FINNSG4
80.2,1/5/2015,FINNSG5
91.3,1/5/2015,FINNSG4
22.18,1/5/2015,Amada Pulsar Laser  - Cell #1
68.02,1/5/2015,Amada FMS #1
89.5,1/5/2015,FINNSG4
88.5,1/5/2015,FINNSG1
92.44,1/5/2015,Salvagnini laser
80.55,1/5/2015,Amada Vipros 1 - Cell #1
29.37,1/5/2015,Amada FMS #2
88.3,1/5/2015,FINNSG5
89.2,1/5/2015,FINNSG4
87.7,1/5/2015,FINNSG2
66.68,1/5/2015,Amada Vipros 3 - Cell #2
83.6,1/5/2015,FINNSG5
88.4,1/5/2015,FINNSG3
88.9,1/5/2015,FINNSG4
83.1,1/5/2015,FINNSG1
88,1/5/2015,FINNSG1
76.48,1/5/2015,Amada Vipros 1 - Cell #1
80.91,1/5/2015,Amada FMS #1
89,1/5/2015,FINNSG4
92.6,1/5/2015,FINNSG4
94.47,1/5/2015,Salvagnini laser
89.7,1/5/2015,FINNSG5
76.04,1/5/2015,Amada FMS #2
69.5,1/5/2015,Amada FMS #1
54.86,1/5/2015,Amada Pulsar Laser  - Cell #1
87.9,1/5/2015,FINNSG2
87.8,1/5/2015,FINNSG4
89.4,1/5/2015,FINNSG2
54.3,1/5/2015,FINNSG5
76.63,1/5/2015,Amada Vipros 1 - Cell #1
69.82,1/5/2015,Amada FMS #2
45.92,1/5/2015,Amada Pulsar Laser  - Cell #1
86.4,1/5/2015,Salvagnini laser
90.9,1/5/2015,FINNSG4
14.57,1/5/2015,Amada Vipros 1 - Cell #1
90.4,1/5/2015,FINNSG3
89.6,1/5/2015,FINNSG5
65.85,1/5/2015,Amada FMS #1
88.2,1/5/2015,FINNSG1
83.1,1/5/2015,FINNSG2
89.9,1/5/2015,FINNSG3
69.24,1/5/2015,Amada Pulsar Laser  - Cell #1
82.3,1/5/2015,Amada Vipros 1 - Cell #1
87.4,1/5/2015,FINNSG5
89.1,1/5/2015,FINNSG4
86.2,1/5/2015,FINNSG1
89.7,1/5/2015,FINNSG5
19.33,1/5/2015,Salvagnini laser
82.53,1/5/2015,Amada FMS #1
89.2,1/5/2015,FINNSG3
55.15,1/5/2015,Amada Vipros 3 - Cell #2
90,1/5/2015,FINNSG4
91.6,1/5/2015,FINNSG2
91,1/5/2015,FINNSG5
62.19,1/5/2015,Amada Pulsar Laser  - Cell #1
88.5,1/5/2015,FINNSG3
88.8,1/5/2015,FINNSG3
88.5,1/5/2015,FINNSG3
84,1/5/2015,FINNSG5
0.12,1/5/2015,Amada Pulsar Laser  - Cell #1
40.16,1/5/2015,Amada FMS #1
82.6,1/5/2015,FINNSG1
44.48,1/5/2015,Amada FMS #2
0.24,1/5/2015,Amada Pulsar Laser  - Cell #1
92.4,1/5/2015,FINNSG2
87.9,1/5/2015,FINNSG4
85.5,1/5/2015,FINNSG1
91.5,1/5/2015,FINNSG5
16.57,1/5/2015,Amada Pulsar Laser  - Cell #1
90.9,1/5/2015,FINNSG1
91.7,1/5/2015,FINNSG2
46.85,1/5/2015,Amada Pulsar Laser  - Cell #1
90.7,1/5/2015,FINNSG4
89.6,1/5/2015,FINNSG5
71.51,1/5/2015,Amada Vipros 1 - Cell #1
70.86,1/5/2015,Amada FMS #1
85.9,1/5/2015,FINNSG1
88.3,1/5/2015,FINNSG1
90,1/5/2015,FINNSG2
88.08,1/5/2015,Salvagnini laser
88,1/5/2015,FINNSG1
90,1/5/2015,FINNSG2
86.2,1/5/2015,FINNSG1
91.1,1/5/2015,FINNSG4
83.28,1/5/2015,Amada Vipros 1 - Cell #1
90.7,1/5/2015,FINNSG4
74.1,1/5/2015,FINNSG2
59.75,1/5/2015,Amada Vipros 3 - Cell #2
79.4,1/5/2015,Amada FMS #1
74.6,1/5/2015,FINNSG2
76.9,1/5/2015,Amada Vipros 1 - Cell #1
92.9,1/5/2015,FINNSG4
254.22,1/5/2015,Amada Pulsar Laser  - Cell #1
79.6,1/5/2015,Amada Vipros 1 - Cell #1
91.3,1/5/2015,FINNSG4
88.8,1/5/2015,Salvagnini laser
90.9,1/5/2015,FINNSG5
91.7,1/5/2015,FINNSG2
78.21,1/5/2015,Amada Vipros 3 - Cell #2
169.48,1/5/2015,Amada Pulsar Laser  - Cell #1
89.7,1/5/2015,FINNSG4
91.9,1/5/2015,FINNSG5
90.1,1/5/2015,FINNSG1
91.1,1/5/2015,FINNSG5
76.77,1/5/2015,Amada Vipros 1 - Cell #1
75.41,1/5/2015,Amada Vipros 3 - Cell #2
91.9,1/5/2015,FINNSG4
71.9,1/5/2015,Amada Vipros 2 - Cell #1
85.8,1/5/2015,FINNSG1
91.1,1/5/2015,FINNSG2
26.16,1/5/2015,Amada Pulsar Laser  - Cell #1
92.8,1/5/2015,FINNSG5
48.8,1/5/2015,FINNSG1
91.5,1/5/2015,FINNSG4
90.9,1/5/2015,FINNSG3
78.1,1/5/2015,Amada Vipros 1 - Cell #1
92,1/5/2015,FINNSG3
43.73,1/5/2015,Amada FMS #2
13.34,1/5/2015,Amada Pulsar Laser  - Cell #1
75.61,1/5/2015,Amada Vipros 1 - Cell #1
83,1/5/2015,FINNSG2
89.9,1/5/2015,FINNSG5
89.8,1/5/2015,FINNSG4
89.2,1/5/2015,FINNSG1
63.68,1/5/2015,Amada Pulsar Laser  - Cell #1
74.13,1/5/2015,Amada Vipros 1 - Cell #1
92.44,1/5/2015,Salvagnini laser
76.77,1/5/2015,Amada FMS #1
70.84,1/5/2015,Amada FMS #1
77.83,1/5/2015,Amada Vipros 3 - Cell #2
86.7,1/5/2015,FINNSG1
71.66,1/5/2015,Amada Vipros 1 - Cell #1
91.9,1/5/2015,FINNSG5
18.44,1/5/2015,Amada Pulsar Laser  - Cell #1
86.2,1/5/2015,FINNSG1
50.27,1/5/2015,Amada Vipros 3 - Cell #2
87.7,1/5/2015,FINNSG2
90.6,1/5/2015,FINNSG5
89.9,1/5/2015,FINNSG4
56.76,1/5/2015,Amada Pulsar Laser  - Cell #1
62.39,1/5/2015,Amada FMS #2
60.99,1/5/2015,Amada FMS #2
67.02,1/5/2015,Amada FMS #2
86.5,1/5/2015,FINNSG2
88.2,1/5/2015,FINNSG4
66.72,1/5/2015,Amada FMS #2
88.2,1/5/2015,FINNSG3
53.94,1/5/2015,Amada Vipros 3 - Cell #2
72.84,1/5/2015,Amada Vipros 1 - Cell #1
92.3,1/5/2015,FINNSG3
82,1/5/2015,FINNSG1
82.43,1/5/2015,Amada FMS #1
65.94,1/5/2015,Amada FMS #1
74.96,1/5/2015,Amada FMS #1
26.47,1/5/2015,Amada Pulsar Laser  - Cell #1
86.7,1/5/2015,FINNSG4
92,1/5/2015,FINNSG5
64.48,1/5/2015,Amada Vipros 1 - Cell #1
87.3,1/5/2015,FINNSG4
83,1/5/2015,FINNSG2
89.5,1/5/2015,FINNSG3
46.79,1/5/2015,Amada Vipros 3 - Cell #2
88.6,1/5/2015,FINNSG5
42.5,1/5/2015,Amada Vipros 1 - Cell #1
38.21,1/5/2015,Amada Pulsar Laser  - Cell #1
88.2,1/5/2015,FINNSG3
89.5,1/5/2015,FINNSG2
47.16,1/5/2015,Salvagnini laser
87.5,1/5/2015,FINNSG4
88.1,1/5/2015,FINNSG1
90.1,1/5/2015,FINNSG5
92.5,1/5/2015,FINNSG5
87.6,1/5/2015,FINNSG5
33.72,1/5/2015,Amada Vipros 1 - Cell #1
79.68,1/5/2015,Amada Vipros 1 - Cell #1
91.7,1/5/2015,FINNSG4
90.2,1/5/2015,FINNSG3
71.9,1/5/2015,Amada Vipros 2 - Cell #1
65.22,1/5/2015,Amada FMS #2
64.06,1/5/2015,Amada FMS #2
72.87,1/5/2015,Amada FMS #2
45.82,1/5/2015,Amada Vipros 3 - Cell #2
79.01,1/5/2015,Amada FMS #1
77.28,1/5/2015,Amada FMS #1
73.78,1/5/2015,Amada FMS #1
89.5,1/5/2015,FINNSG5
86.4,1/5/2015,FINNSG2
88.3,1/5/2015,FINNSG4
83.8,1/5/2015,FINNSG5
62.78,1/5/2015,Amada Vipros 1 - Cell #1
81.7,1/5/2015,FINNSG1
42.96,1/5/2015,Amada Vipros 3 - Cell #2
47.02,1/5/2015,Amada Vipros 1 - Cell #1
91.3,1/5/2015,FINNSG2
86.3,1/5/2015,FINNSG4
87.8,1/5/2015,FINNSG5
88.5,1/5/2015,FINNSG3
38.09,1/5/2015,Amada Pulsar Laser  - Cell #1
86.84,1/5/2015,Amada Vipros 1 - Cell #1
88.4,1/5/2015,FINNSG4
82.8,1/5/2015,FINNSG2
34.06,1/5/2015,Amada Vipros 3 - Cell #2
82.84,1/5/2015,Amada FMS #1
78.07,1/5/2015,Amada FMS #1
79.08,1/5/2015,Amada FMS #1
88.5,1/5/2015,FINNSG4
88.3,1/5/2015,FINNSG5
88.3,1/5/2015,FINNSG3
21.53,1/5/2015,Amada Pulsar Laser  - Cell #1
91.9,1/5/2015,FINNSG1
91.4,1/5/2015,FINNSG1
91.1,1/5/2015,FINNSG4
90.7,1/5/2015,FINNSG2
85.7,1/5/2015,FINNSG3
69.23,1/5/2015,Amada FMS #2
61.55,1/5/2015,Amada FMS #2
55.21,1/5/2015,Amada FMS #2
52.84,1/5/2015,Amada Vipros 1 - Cell #1
88.5,1/5/2015,FINNSG1
74.6,1/5/2015,FINNSG5
55.31,1/5/2015,Amada Pulsar Laser  - Cell #1
69.66,1/5/2015,Amada Vipros 1 - Cell #1
92.5,1/5/2015,FINNSG1
88.4,1/5/2015,FINNSG3
92.41,1/5/2015,Salvagnini laser
34.04,1/5/2015,Amada Vipros 1 - Cell #1
76.28,1/5/2015,Amada FMS #1
84.29,1/5/2015,Amada FMS #1
57.7,1/5/2015,Amada FMS #1
89.2,1/5/2015,FINNSG2
91.2,1/5/2015,FINNSG3
48.66,1/5/2015,Amada FMS #2
66.81,1/5/2015,Amada Vipros 3 - Cell #2
79.3,1/5/2015,FINNSG5
87.8,1/5/2015,FINNSG2
88.2,1/5/2015,FINNSG4
92.8,1/5/2015,FINNSG3
92,1/5/2015,FINNSG1
87.9,1/5/2015,FINNSG1
87.5,1/5/2015,FINNSG2
52.84,1/5/2015,Amada Vipros 1 - Cell #1
28.1,1/5/2015,FINNSG5
87.9,1/5/2015,FINNSG1
88.5,1/5/2015,FINNSG3
93,1/5/2015,FINNSG1
45.31,1/5/2015,Amada Vipros 3 - Cell #2
84.7,1/5/2015,FINNSG2
75.95,1/5/2015,Amada FMS #1
87.1,1/5/2015,FINNSG5
90.6,1/5/2015,FINNSG4
70.83,1/5/2015,Amada Vipros 5 - Cell #3
99.7,1/5/2015,Salvagnini laser
89.7,1/5/2015,FINNSG5
85.45,1/5/2015,Amada Pulsar Laser  - Cell #1
90.6,1/5/2015,FINNSG2
76.59,1/5/2015,Amada Vipros 2 - Cell #1
88.6,1/5/2015,FINNSG3
88.5,1/5/2015,FINNSG1
90.6,1/5/2015,FINNSG4
77.94,1/5/2015,Amada FMS #2
69.93,1/5/2015,Amada FMS #2
68.28,1/5/2015,Amada FMS #2
92.2,1/5/2015,FINNSG3
74.44,1/5/2015,Amada Vipros 1 - Cell #1
86.5,1/5/2015,FINNSG5
85.4,1/5/2015,FINNSG2
88.5,1/5/2015,FINNSG3
51.66,1/5/2015,Amada Vipros 3 - Cell #2
87.3,1/5/2015,FINNSG3
89,1/5/2015,FINNSG5
17.71,1/5/2015,Amada Vipros 1 - Cell #1
91.2,1/5/2015,FINNSG3
